player1_name,player1_country_name,player1_country_id,player1_active,player2_name,player2_country_name,player2_country_id,player2_active,lastMatch_season,lastMatch_level,lastMatch_surface,lastMatch_indoor,lastMatch_tournament,lastMatch_round,lastMatch_score,rank,rivalryScore,matches,wonPctStr,lostPctStr,won,lost
Roger Federer,Switzerland,SUI,false,Richard Gasquet,France,FRA,false,2021,G,G,false,Wimbledon,R64,7-6(1) 6-1 6-4,77,11,5,100.0%,0.0%,5,0
Rafael Nadal,Spain,ESP,false,Nicolas Almagro,Spain,ESP,false,2015,G,C,false,Roland Garros,R64,6-4 6-3 6-1,77,11,5,100.0%,0.0%,5,0
Juan Martin Del Potro,Argentina,ARG,false,Marin Cilic,Croatia,CRO,false,2018,G,C,false,Roland Garros,QF,7-6(5) 5-7 6-3 7-5,77,11,5,80.0%,20.0%,4,1
Andy Murray,United Kingdom,GBR,false,Richard Gasquet,France,FRA,false,2016,G,C,false,Roland Garros,QF,5-7 7-6(3) 6-0 6-2,81,10,5,100.0%,0.0%,5,0
Novak Djokovic,Serbia,SRB,false,Lleyton Hewitt,Australia,AUS,false,2012,G,H,false,Australian Open,R16,6-1 6-3 4-6 6-3,82,9,5,80.0%,20.0%,4,1
Pete Sampras,United States,USA,false,Karol Kucera,Slovakia,SVK,false,2001,G,H,false,Australian Open,R128,7-6(5) 3-6 6-4 7-6(3),82,9,5,80.0%,20.0%,4,1
Roger Federer,Switzerland,SUI,false,Mikhail Youzhny,Russian Federation,RUS,false,2017,G,H,false,US Open,R64,6-1 6-7(3) 4-6 6-4 6-2,82,9,5,100.0%,0.0%,5,0
Andy Murray,United Kingdom,GBR,false,Fernando Verdasco,Spain,ESP,false,2018,G,H,false,US Open,R64,7-5 2-6 6-4 6-4,82,9,5,60.0%,40.0%,3,2
Goran Ivanisevic,Croatia,CRO,false,Todd Martin,United States,USA,false,1999,G,G,false,Wimbledon,R16,7-6(3) 6-3 6-4,86,8,5,60.0%,40.0%,3,2
Jim Courier,United States,USA,false,Thomas Muster,Austria,AUT,false,1997,G,H,false,Australian Open,R16,6-2 3-6 7-6(4) 6-3,86,8,5,80.0%,20.0%,4,1
Novak Djokovic,Serbia,SRB,false,Philipp Kohlschreiber,Germany,GER,false,2019,G,G,false,Wimbledon,R128,6-3 7-5 6-3,88,7,5,80.0%,20.0%,4,1
Tomas Berdych,Czech Republic,CZE,false,Kevin Anderson,South Africa,RSA,false,2014,G,H,false,Australian Open,R16,6-2 6-2 6-3,88,7,5,100.0%,0.0%,5,0
Stan Smith,United States,USA,false,Dick Crealy,Australia,AUS,false,1977,G,G,false,Australian Open-2,R32,4-6 6-3 7-6 6-3,88,7,5,60.0%,40.0%,3,2
Andy Murray,United Kingdom,GBR,false,Juan Ignacio Chela,Argentina,ARG,false,2011,G,C,false,Roland Garros,QF,7-6(2) 7-5 6-2,88,7,5,80.0%,20.0%,4,1
Pete Sampras,United States,USA,false,Mikael Tillstrom,Sweden,SWE,false,2000,G,H,false,Australian Open,R64,6-3 7-6(6) 6-1,92,6,5,100.0%,0.0%,5,0
Gael Monfils,France,FRA,false,Richard Gasquet,France,FRA,false,2018,G,G,false,Wimbledon,R128,7-6(6) 7-5 6-4,92,6,5,80.0%,20.0%,4,1
Novak Djokovic,Serbia,SRB,false,Radek Stepanek,Czech Republic,CZE,false,2014,G,G,false,Wimbledon,R64,6-4 6-3 6-7(5) 7-6(5),92,6,5,100.0%,0.0%,5,0
Andreas Seppi,Italy,ITA,false,Denis Istomin,Uzbekistan,UZB,false,2015,G,H,false,Australian Open,R128,5-7 6-3 2-6 6-1 6-4,95,5,5,60.0%,40.0%,3,2
Novak Djokovic,Serbia,SRB,false,Jeremy Chardy,France,FRA,false,2021,G,H,false,Australian Open,R128,6-3 6-1 6-2,95,5,5,100.0%,0.0%,5,0
Roger Federer,Switzerland,SUI,false,Alejandro Falla,Colombia,COL,false,2015,G,C,false,Roland Garros,R128,6-3 6-3 6-4,95,5,5,100.0%,0.0%,5,0
Roger Federer,Switzerland,SUI,false,Tommy Haas,Germany,GER,false,2009,G,G,false,Wimbledon,SF,7-6(3) 7-5 6-3,98,11,5,75.0%,25.0%,3,1
